"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122"
"11",1,0.25,0,5,0,0,0,5,0,3,7,12,0,3,0,33,0,3,2,4,8,0,0,0,0,1,0,0,0,4,3,0,0,6,0,0,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,4,0,0,0,0,0,5,0,1,0,2,1,0,0,0,0,1,0,0,0,4,2,0,0,9,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,4,3,0,2,0,11,2,0,0
"12",0,0.25,0,1,0,2,1,2,0,1,4,8,0,0,0,29,0,0,1,0,2,0,2,0,0,1,0,4,0,2,4,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,4,4,0,0,0,0,0,1,0,0,3,1,0,0,0,4,0,1,0,3,0,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,10,6,0,0
"13",0.5,0,1,4,0,0,1,1,0,0,2,3,0,2,0,9,0,1,1,0,0,0,0,0,0,2,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,2,0,1,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,6,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,10,0,15,3,0,0
"14",0.5,0,0,1,0,0,0,2,0,1,4,6,0,0,0,18,0,3,1,0,3,0,1,0,0,2,0,1,0,2,1,0,0,4,0,0,0,0,2,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,1,0,5,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,1,0,0,0,0,1,3,0,8,0,11,5,0,3
"15",0,0,0,3,0,1,0,2,0,2,1,3,0,2,0,6,0,0,1,0,2,0,0,0,0,2,1,2,0,5,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,6,0,1,0,1,1,0,0,0,5,0,1,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,6,0,19,7,0,1
"16",0.25,1,2,3,0,2,0,2,0,0,6,4,0,1,0,22,0,1,2,2,1,0,1,0,0,2,0,1,1,2,0,0,0,2,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,1,4,0,2,0,1,0,0,0,0,0,0,1,0,0,5,0,0,0,10,0,1,1,0,0,5,1,0,0,0,0,0,0,0,0,1,0,0,0,1,2,1,1,5,0,8,6,0,0
"17",1,0,4,2,0,2,0,3,0,0,1,3,0,0,1,26,0,0,3,1,3,0,1,0,0,0,0,2,1,3,0,1,0,4,0,0,0,3,2,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,3,0,0,0,1,1,0,0,0,1,0,0,4,1,1,0,3,5,0,0,0,1,0,0,0,0,1,1,0,1,0,2,0,2,0,8,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,3,0,17,4,0,0
"18",0,0,0,3,0,0,0,4,0,1,1,4,0,1,0,7,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,2,0,0,0,0,0,0,1,0,1,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,3,0,1,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,9,1,0,0
"19",0,0.5,4,0,0,2,1,1,0,1,1,4,0,0,2,7,0,0,0,1,1,0,0,0,0,0,0,0,4,1,0,1,0,12,0,0,0,3,2,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,0,1,0,1,0,0,0,0,1,1,1,0,0,3,0,1,0,0,1,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,11,5,0,1
"20",0,0,1,0,0,0,1,1,0,1,5,4,0,3,0,12,0,0,1,2,4,0,2,1,0,3,0,0,0,1,2,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,1,1,0,0,0,3,0,0,0,1,0,0,0,1,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,1,0,4,0,11,3,0,0
"21",0,0,0,2,0,3,0,2,0,1,1,9,0,0,1,10,0,0,1,1,1,0,0,0,0,5,0,1,2,1,1,0,1,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,2,1,1,2,0,0,0,1,0,0,0,0,4,0,0,0,2,0,1,0,1,0,4,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,6,0,11,8,0,0
"22",0,0,0,0,0,0,2,3,0,0,1,1,0,3,1,22,0,2,0,0,5,0,4,0,0,0,0,0,1,4,1,0,0,4,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,0,0,1,0,1,0,2,2,0,1,0,0,0,0,0,0,0,0,1,0,0,5,1,0,0,4,0,0,0,0,3,3,0,0,0,0,3,0,0,0,0,2,0,0,0,1,2,3,1,6,0,9,5,0,0
"23",0,0.25,0,0,0,0,0,0,0,0,2,3,0,0,0,8,0,2,1,1,1,0,2,0,0,0,0,0,1,1,0,1,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,10,7,0,0
"24",0.5,0,1,0,0,0,0,1,0,0,5,7,0,2,0,34,0,1,3,1,2,0,2,2,0,1,0,3,1,7,1,0,1,7,1,0,0,0,2,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0,2,0,0,2,0,1,0,0,4,0,0,0,0,0,0,3,2,0,0,0,1,0,0,0,0,2,0,1,0,0,1,2,1,0,7,0,1,1,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,5,0,11,6,0,0
"25",1,0.5,4,2,0,4,2,0,0,1,3,4,0,0,0,18,0,1,1,0,1,0,3,0,0,1,0,1,0,2,0,1,0,6,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,1,0,0,3,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,1,0,0,0,4,1,1,0,7,1,7,3,0,0
"26",0,1,1,1,0,5,0,0,0,0,3,3,0,0,0,23,0,2,0,1,1,0,1,0,0,0,0,1,0,5,1,0,0,3,1,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,3,0,0,0,1,1,0,0,0,4,0,0,3,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0,2,0,0,2,1,0,0,6,0,1,0,0,4,4,1,0,0,0,2,1,0,0,0,1,0,0,1,1,0,1,1,7,0,6,4,0,0
"27",0,1,6,0,0,2,0,2,0,2,2,1,0,2,1,7,0,3,1,1,0,1,0,0,0,0,0,0,0,3,1,1,0,2,0,0,0,1,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,1,0,0,2,0,0,0,1,0,0,1,2,1,0,0,1,0,0,1,1,0,0,0,1,2,0,0,1,0,0,0,7,0,10,1,0,0
"28",0.25,1,0,2,0,3,0,0,0,0,1,2,0,1,0,20,0,2,1,0,0,0,2,0,0,1,0,1,0,2,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,3,3,0,0,1,0,1,0,2,0,0,1,0,1,0,0,0,0,1,1,3,0,0,1,0,0,0,2,2,2,1,0,3,3,1,0,0,0,2,1,0,0,0,0,0,0,0,0,3,3,0,6,1,10,4,0,0
"29",0,0.25,1,0,0,0,0,1,0,0,2,3,1,1,0,3,0,1,1,1,0,0,2,3,0,0,0,0,0,1,1,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,4,5,0,1,0,2,0,0,0,0,3,0,0,2,1,0,0,1,0,0,5,0,0,0,0,0,0,3,1,0,0,0,5,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,9,1,0,0
"30",0.25,1,3,1,0,0,0,2,0,0,5,6,0,0,2,27,0,0,1,2,1,0,3,1,1,3,0,0,0,2,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0,0,2,0,0,0,1,0,0,2,5,0,0,1,2,0,0,2,1,0,2,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,9,0,0,0,2,1,1,1,2,0,0,3,0,0,0,0,2,0,0,0,0,0,3,1,5,0,2,4,0,0
"31",0.5,0.25,2,0,0,0,0,0,0,2,1,4,0,1,0,13,0,0,0,0,1,0,2,2,0,0,0,1,0,4,0,2,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,3,0,0,0,0,1,0,3,0,0,3,0,0,0,0,0,0,5,0,2,0,0,1,0,0,0,2,0,2,0,1,0,1,0,1,0,0,2,0,0,0,0,1,1,0,0,1,1,1,0,6,1,7,8,0,0
"32",1,1,2,0,0,3,2,0,0,2,12,1,0,0,0,31,0,0,0,0,2,0,3,1,0,0,0,4,2,3,1,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,2,1,0,0,2,2,0,0,0,3,0,3,0,0,0,0,1,2,4,0,0,1,0,0,0,0,3,3,1,0,0,0,1,1,0,4,0,2,1,0,1,2,1,0,0,0,2,0,0,0,0,2,0,0,0,0,1,3,0,4,0,10,3,0,0
"33",0.25,0.5,3,2,0,0,0,2,0,2,4,8,0,3,0,37,0,1,2,0,1,0,2,2,0,0,0,2,0,2,0,0,0,7,0,0,0,3,0,0,0,0,2,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,4,0,1,0,0,0,0,0,1,4,2,0,0,0,0,1,0,3,1,0,0,0,0,1,0,0,7,1,1,0,0,1,2,1,0,0,0,1,1,0,0,0,0,1,0,0,2,1,1,0,5,0,11,1,0,0
"34",1,0.5,1,0,0,3,0,4,0,0,2,2,0,2,2,11,0,0,1,0,0,0,1,1,0,1,0,3,0,1,0,0,0,5,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,4,0,0,0,0,0,2,0,3,0,0,0,0,2,0,1,0,4,0,0,1,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,5,0,4,4,0,0
"35",1,0.25,0,2,0,3,0,1,0,2,3,4,0,1,1,7,0,2,0,1,1,0,0,0,0,1,0,2,0,2,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,6,5,0,0,0,0,0,0,3,0,1,0,0,1,0,2,0,0,0,0,0,2,3,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,7,0,14,0,0,0
"36",1,0.25,1,1,0,0,0,3,0,1,2,3,0,0,0,22,0,1,2,1,2,0,3,0,0,0,0,5,0,0,0,0,0,6,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,6,0,0,0,2,1,0,0,1,0,1,0,3,2,5,0,0,0,0,0,0,0,3,3,1,0,0,3,1,0,0,6,0,0,0,2,1,3,1,0,0,0,1,0,0,0,0,2,0,0,0,1,1,1,0,6,0,5,2,0,0
"37",0.5,0,1,0,0,4,0,0,0,1,2,4,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,1,0,3,2,0,0,3,0,0,0,2,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,5,2,1,0,1,0,0,1,0,1,1,1,0,0,3,1,0,0,1,0,0,0,0,4,1,0,0,3,1,4,0,0,0,0,0,0,0,0,0,1,0,1,9,0,9,4,0,0
"38",0.25,1,1,1,0,0,0,1,0,2,4,11,0,0,2,32,0,0,3,0,4,0,4,1,0,0,0,3,0,1,1,0,0,5,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,4,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,3,3,4,2,0,1,1,0,0,0,2,3,1,0,0,1,2,0,0,10,0,1,1,0,1,4,1,0,0,0,1,3,0,0,0,0,0,0,0,2,2,0,0,4,0,6,3,0,0
"39",0,0.5,4,3,0,0,0,2,0,1,6,5,0,1,2,25,0,0,1,2,2,0,7,0,0,3,0,1,3,3,1,0,0,5,0,0,1,5,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,5,0,0,0,2,0,0,0,0,4,0,0,2,0,0,0,0,3,5,0,0,1,0,1,0,0,3,0,2,0,0,0,0,1,0,10,0,0,0,0,4,3,0,1,0,0,1,0,0,0,0,3,0,0,0,4,3,0,0,5,0,10,2,0,0
"40",0.25,0,2,1,0,0,1,0,0,0,1,3,0,2,0,11,0,1,0,5,0,0,0,1,0,0,3,1,0,2,2,0,1,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,8,0,1,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,4,3,0,2,0,0,0,0,5,1,0,0,0,1,1,2,0,4,1,0,0,0,0,2,0,0,0,0,2,0,0,0,0,1,0,0,0,0,1,0,1,8,0,8,0,0,0
"41",0,0,1,0,0,0,0,0,0,1,1,2,0,1,0,7,0,2,2,2,0,0,0,0,0,3,0,2,0,2,3,0,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,2,4,0,0,0,1,1,0,0,6,1,0,0,1,0,0,0,1,1,1,0,0,0,2,1,0,1,0,0,0,0,4,1,0,2,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,23,0,7,1,0,2
"42",0,0,0,1,0,1,1,0,0,0,11,5,1,2,0,13,0,0,0,1,3,0,0,1,0,4,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,3,0,0,2,0,2,0,0,3,4,5,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,2,0,1,2,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,10,0,10,5,0,0
"43",0,0,2,0,0,2,0,3,0,3,0,3,1,1,0,5,0,3,0,2,1,0,0,0,0,2,1,3,0,1,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,2,0,0,0,0,1,0,2,0,6,5,0,0,0,1,0,0,3,3,0,0,0,4,0,2,0,3,0,2,0,0,1,2,2,0,0,1,1,0,0,0,0,0,0,0,0,0,1,3,2,7,0,6,0,0,0
"44",0.25,0,2,1,0,0,0,2,0,0,2,11,0,0,1,27,0,1,2,0,1,0,0,0,0,1,0,1,0,2,0,0,0,2,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,2,0,0,0,0,7,1,0,3,0,0,0,2,1,4,0,0,0,1,0,0,0,5,0,0,0,0,3,0,1,0,6,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,1,2,0,8,5,0,0
"45",0,0,1,1,0,6,1,0,0,1,2,2,1,0,0,4,0,1,3,2,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,1,0,0,0,0,0,0,4,0,0,3,0,0,0,0,1,1,1,0,5,0,0,0,1,0,0,0,1,0,1,0,0,0,1,3,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,3,0,9,4,0,0
"46",0,0.25,0,2,0,0,0,2,0,2,6,4,0,2,1,35,0,0,2,1,0,0,3,1,0,0,0,3,1,5,1,0,1,12,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,1,0,0,1,0,0,0,0,5,0,0,5,0,0,0,2,0,3,0,0,0,1,0,0,0,2,1,1,0,0,0,0,2,0,14,1,0,0,0,3,4,1,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,3,0,3,2,0,0
"47",0.5,0,0,2,0,6,0,1,0,0,1,4,1,3,0,11,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,7,0,1,0,1,3,0,0,0,1,2,0,4,0,1,0,0,0,0,1,0,2,0,1,0,1,1,1,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,7,0,9,1,0,1
"48",0.25,0.5,0,2,0,2,1,1,0,3,3,7,1,1,0,15,0,0,1,0,1,0,1,0,0,2,0,0,2,2,0,0,0,2,0,0,0,1,1,0,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,1,0,2,0,0,2,0,0,0,1,1,0,0,0,3,0,1,0,0,1,0,1,0,8,0,0,1,0,1,4,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,2,0,6,0,4,8,0,0
"49",0,0,2,1,0,5,1,1,0,0,1,2,0,3,0,5,0,0,1,1,0,0,1,1,0,1,0,1,2,2,1,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,3,0,3,3,0,0,1,0,0,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,5,0,8,3,0,0
"50",0,0,2,2,0,3,0,1,0,1,1,2,0,3,0,6,0,0,0,0,0,0,0,1,0,0,0,2,0,2,1,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,3,0,0,1,2,0,1,0,0,4,1,0,0,0,0,0,0,5,0,1,0,0,2,0,0,0,4,0,2,0,0,0,0,1,0,0,2,0,2,0,0,0,4,0,0,0,0,0,0,0,5,0,13,8,0,0
"51",0,0,2,2,0,0,0,1,0,2,1,3,0,0,1,6,0,0,2,1,0,0,1,0,0,1,1,1,0,3,3,1,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,1,0,1,0,0,0,1,2,3,0,0,1,0,0,0,0,4,0,1,0,0,1,0,1,0,2,1,3,0,1,1,0,1,0,0,0,1,0,0,0,0,2,0,0,0,0,0,1,1,4,0,7,5,0,0
"52",0,0,1,2,0,0,0,2,0,3,2,4,0,0,0,6,0,1,2,3,1,0,2,0,0,1,2,0,1,3,0,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0,0,0,2,0,0,1,0,0,0,3,2,1,0,0,0,0,1,0,0,6,0,0,0,0,2,0,0,0,6,1,0,0,0,2,4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3,1,1,3,0,7,9,0,0
"53",0,0,0,3,0,0,0,4,0,3,1,2,0,2,1,16,0,2,2,0,1,0,2,1,0,2,1,1,0,2,1,1,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8,0,0,0,0,0,1,2,1,2,0,0,0,0,0,0,0,8,1,1,1,0,0,2,3,0,7,0,0,0,0,1,3,1,0,1,0,3,0,0,0,0,0,0,0,0,0,1,3,0,3,0,12,5,0,1
